t,vida
0.1287,225.42063903808594
0.1290,225.42063903808594
0.1291,225.42063903808594
0.1292,225.42063903808594
0.1337,225.42063903808594
0.1672,225.42063903808594
0.2007,225.42063903808594
0.2340,225.42063903808594
0.2667,225.42063903808594
0.3004,225.42063903808594
0.3340,225.42063903808594
0.3672,225.42063903808594
0.4002,225.42063903808594
0.4335,225.42063903808594
0.4671,225.42063903808594
0.5006,225.42063903808594
0.5340,225.42063903808594
0.5670,225.42063903808594
0.6006,225.42063903808594
0.6334,225.42063903808594
0.6671,225.42063903808594
0.7003,225.42063903808594
0.7337,225.42063903808594
0.7669,225.42063903808594
0.8003,225.42063903808594
0.8337,225.42063903808594
0.8672,225.42063903808594
0.9002,225.42063903808594
0.9341,225.42063903808594
0.9671,225.42063903808594
1.0003,225.42063903808594
1.0334,225.42063903808594
1.0672,225.42063903808594
1.1004,225.42063903808594
1.1336,225.42063903808594
1.1673,225.42063903808594
1.2004,225.42063903808594
1.2337,225.42063903808594
1.2668,225.42063903808594
1.3004,225.42063903808594
1.3336,225.42063903808594
1.3669,225.42063903808594
1.4005,225.42063903808594
1.4337,225.42063903808594
1.4669,225.42063903808594
1.5002,225.42063903808594
1.5336,225.42063903808594
1.5674,225.42063903808594
1.6003,225.42063903808594
1.6338,225.42063903808594
1.6671,225.42063903808594
1.7006,225.42063903808594
1.7338,225.42063903808594
1.7672,225.42063903808594
1.8003,225.42063903808594
1.8336,225.42063903808594
1.8671,225.42063903808594
1.9006,225.42063903808594
1.9338,225.42063903808594
1.9671,225.42063903808594
2.0004,225.42063903808594
2.0337,225.42063903808594
2.0671,225.42063903808594
2.1003,225.42063903808594
2.1337,225.42063903808594
2.1671,225.42063903808594
2.2006,225.42063903808594
2.2337,225.42063903808594
2.2672,225.42063903808594
2.3002,225.42063903808594
2.3339,225.42063903808594
2.3669,225.42063903808594
2.4004,225.42063903808594
2.4336,225.42063903808594
2.4669,225.42063903808594
2.5004,225.42063903808594
2.5339,225.42063903808594
2.5668,225.42063903808594
2.6005,225.42063903808594
2.6337,225.42063903808594
2.6671,225.42063903808594
2.7001,225.42063903808594
2.7337,225.42063903808594
2.7672,225.42063903808594
2.8003,225.42063903808594
2.8336,225.42063903808594
2.8673,225.42063903808594
2.9003,225.42063903808594
2.9339,225.42063903808594
